Text;Period;EstYear;Tokens;DiagMC;Initial;Final;DiagCC;Initial;Final;DiagSC;Initial;Final;AuxVRoot;Aux V;V Aux;AuxVSC;Aux V;V Aux;DiagVP;Initial;Final;VtoC;spro V;V spro;Scan;Can;NonCan;ScrSC;NoScr;Scr;NGen (Subjects);GenN;Ngen;NGen (Objects);GenN;Ngen;Rel; +te;se;Topic(PP-spro);No Top;Top;Topic(OBJ-spro);No Top;Top;Topic(PP-SUBJ);No Top;Top;Topic(OBJ-SUBJ);No Top;Top;NegCon;No NC;NC;Expl;overt;null
3.14 Apollonius;3;1025;593;25.6;10;29;29.4;5;12;9.1;4;40;94.7;36;2;59.7;40;27;0;0;25;66.9;103;51;84.6;22;4;0;0;11;84.6;11;2;71.3;57;23;79.7;55;14;69.6;16;7;76;19;6;76.2;16;5;66.7;8;4;8.3;1;11;75;3;1
3.15 Alcuin;3;1070;402;11.8;2;15;16.7;1;5;9.5;2;19;95.7;45;2;71.2;37;15;3.8;1;25;69.2;90;40;100;8;0;0;0;10;58;29;21;75.4;89;29;69;80;36;82.4;14;3;50;9;9;50;14;14;54.5;6;5;0;0;17;50;1;1
3.16 Leofric;3;1060;97;NA;0;0;0;0;3;0;0;5;100;4;0;60;6;4;0;0;3;26.7;8;22;60;3;2;0;0;1;100;2;0;100;8;0;87.5;7;1;85.7;6;1;100;1;0;100;3;0;NA;0;0;0;0;1;100;1;0
3.17 Charters3;3;1020;301;50;1;1;72.7;8;3;5.9;2;32;83.3;5;1;50;21;21;0;0;6;15.8;3;16;94.4;17;1;5.3;1;18;92.3;12;1;82.5;99;21;90;108;12;100;19;0;100;38;0;80;12;3;75;6;2;0;0;3;16.66666667;1;5
Unknown Adrian;X;X;114;0;0;49;NA;0;0;0;0;4;100;2;0;60;3;2;0;0;1;100;55;0;100;6;0;NA;0;0;100;10;0;93.8;15;1;84.6;11;2;0;0;3;50;1;1;100;2;0;0;0;2;0;0;3;NA;0;0
Unknown Augustine;X;X;4;NA;0;0;NA;0;0;NA;0;0;NA;0;0;100;2;0;NA;0;0;100;1;0;NA;0;0;NA;0;0;NA;0;0;75;3;1;100;2;0;NA;0;0;NA;0;0;100;1;0;NA;0;0;NA;0;0;NA;0;0
Unknown De Ascensione;X;X;154;40;2;3;87.5;7;1;12.5;1;7;100;14;0;76.5;13;4;0;0;4;71.9;23;9;100;2;0;0;0;3;90;9;1;75.8;25;8;100;22;0;100;19;0;45.5;5;6;100;10;0;100;1;0;0;0;7;40;2;3
Unknown Distichs of Cato;X;X;179;57.1;4;3;0;0;2;13.6;3;19;100;6;0;71;22;9;0;0;10;21.7;13;47;50;2;2;0;0;14;100;4;0;90;18;2;93.1;27;2;100;3;0;100;3;0;100;1;0;100;6;0;13.3;2;13;NA;0;0
Unknown Herbarium;X;X;2659;6.1;4;62;0;0;9;0;0;42;95.5;191;9;22.1;30;106;5.3;1;18;87.9;408;56;93.3;14;1;10.3;3;26;90;54;6;86.6;645;100;92.4;352;29;60;24;16;73.5;86;31;82.4;28;6;81.3;13;3;50;3;3;28;7;18
Unknown Holy Rood Tree;X;X;591;47.4;9;10;12.5;2;14;8;4;46;51.9;28;26;11.2;19;151;7.1;1;13;35.6;53;96;82.9;34;7;17.9;5;23;82.4;14;3;89.5;34;4;88.5;116;15;75;12;4;42.9;3;4;63.6;7;4;80;4;1;4.8;1;20;33.33333333;1;2
Unknown James the Greater;X;X;135;55.6;5;4;33.3;1;2;25;3;9;93.3;14;1;46.7;7;8;0;0;2;81.5;22;5;100;5;0;0;0;3;80;4;1;86.7;26;4;88.5;23;3;66.7;4;2;66.7;2;1;63.6;7;4;100;3;0;0;0;1;50;1;1
Unknown Lacnunga;X;X;871;66.7;2;1;NA;0;0;20;1;4;100;10;0;56.8;25;19;50;1;1;57.1;12;9;50;1;1;0;0;1;100;15;0;86.7;170;26;79.3;23;6;50;2;2;50;3;3;40;2;3;66.7;2;1;0;0;1;NA;0;0
Unknown Leechbook 1,2;X;X;3493;14.3;2;12;33.3;3;6;6;3;47;100;80;0;54.7;94;78;5.9;3;48;39;39;61;62.9;22;13;5.6;1;17;69.6;87;38;88.2;673;90;66.1;152;78;81.8;9;2;42.9;3;4;73.2;30;11;82.4;28;6;10.5;2;17;0;0;3
Unknown Leechbook 3;X;X;659;NA;0;0;100;1;0;7.1;1;13;100;8;0;77.4;24;7;12.5;1;7;83.3;20;4;100;1;0;0;0;2;NA;0;0;89.2;148;18;78.9;15;4;100;3;0;100;2;0;NA;0;0;100;2;0;33.3;1;2;NA;0;0
Unknown Margaret Corpus;X;X;368;4.5;1;21;0;0;39;4.8;1;20;85.7;24;4;42.5;17;23;4.3;1;22;55.6;40;32;100;6;0;30;3;7;73.3;11;4;94.4;34;2;81.8;45;10;72.7;8;3;56.3;9;7;60;3;2;62.5;5;3;0;0;16;NA;0;0
Unknown Margaret Tiberius;X;X;323;20;5;20;20;4;16;22.7;5;17;97.3;36;1;95.2;20;1;0;0;14;79.4;50;13;60;3;2;100;2;0;66.7;6;3;84.9;45;8;68.2;30;14;68.4;13;6;64.7;11;6;86.4;19;3;100;11;0;0;0;7;NA;0;0
Unknown Martyrology C CCCC 196;X;X;115;20;1;4;28.6;2;5;0;0;2;100;6;0;62.5;5;3;0;0;2;53.8;7;6;75;3;1;NA;0;0;100;16;0;83.3;20;4;64.7;11;6;40;2;3;66.7;2;1;54.5;6;5;75;3;1;0;0;2;NA;0;0
Unknown Martyrology D CCCC 41;X;X;359;25;1;3;30;3;7;23.5;4;13;100;34;0;87.1;27;4;0;0;15;46.8;29;33;84.6;22;4;0;0;4;94.6;53;3;74.8;77;26;56;42;33;62.5;10;6;87.5;7;1;63;17;10;90;9;1;20;1;4;0;0;1
Unknown Mary of Egypt;X;X;547;6.1;2;31;11.5;3;23;1.9;1;53;78;39;11;60.3;38;25;0;0;16;58.5;86;61;46.2;6;7;21.1;4;15;51.6;16;15;58;116;84;77.2;98;29;85.7;12;2;42.9;3;4;77.8;7;2;57.1;4;3;11.5;3;23;100;1;0
Unknown Neot;X;X;163;0;0;2;0;0;2;0;0;5;62.5;10;6;26.3;5;14;0;0;3;85;34;6;60;3;2;0;0;2;81.8;9;2;84.8;28;5;81.8;18;4;100;12;0;62.5;5;3;75;3;1;100;1;0;0;0;2;100;4;0
Unknown Nicodemus;X;X;635;25.4;15;44;17.1;6;29;9.1;3;30;88.7;63;8;55.6;70;56;5.6;2;34;73.4;91;33;70.8;17;7;11.1;1;8;58.3;14;10;80.9;72;17;78.5;102;28;85;17;3;61.5;8;5;100;15;0;100;12;0;4.2;1;23;66.66666667;2;1
Unknown Quadrupedibus;X;X;501;5.3;1;18;0;0;5;14.3;1;6;100;13;0;69.6;16;7;0;0;5;87.6;113;16;100;1;0;0;0;3;90;27;3;92.4;206;17;88.4;38;5;0;0;2;46.2;6;7;20;2;8;83.3;5;1;40;2;3;NA;0;0
Unknown Saint Chad;X;X;156;0;0;6;9.1;1;10;0;0;6;92.9;13;1;55;11;9;0;0;6;73.7;28;10;80;4;1;20;1;4;33.3;4;8;61.8;47;29;43.6;17;22;90.9;10;1;88.9;8;1;57.1;4;3;0;0;1;0;0;2;100;7;0
Unknown Saint Christopher;X;X;91;16.7;1;5;0;0;7;0;0;4;87.5;21;3;35.7;5;9;0;0;4;62.5;10;6;NA;0;0;50;1;1;100;12;0;67.7;21;10;57.1;12;9;66.7;4;2;50;1;1;80;4;1;50;1;1;0;0;3;NA;0;0
Unknown Saint Euphrosyne;X;X;351;38.5;5;8;57.1;4;3;7.4;2;25;100;20;0;42.5;17;23;0;0;13;44.1;41;52;63.6;7;4;33.3;3;6;91.7;11;1;80.4;45;11;57.1;20;15;90;9;1;100;9;0;100;14;0;85.7;6;1;16.7;1;5;100;2;0
Unknown Saint Eustace;X;X;492;63.2;12;7;18.2;4;18;2.7;1;36;75;15;5;37.7;20;33;0;0;5;50;62;62;88.2;15;2;33.3;3;6;52.4;11;10;63.5;40;23;74.4;64;22;78.6;11;3;100;9;0;100;7;0;100;5;0;33.3;2;4;85.71428571;6;1
Unknown Seven Sleepers;X;X;604;65.2;15;8;29.3;12;29;7.4;4;50;72.7;32;12;28.3;28;71;2.8;1;35;69.7;69;30;53.3;8;7;27.6;8;21;76.7;23;7;84.1;111;21;82.2;111;24;79.2;19;5;41.7;10;14;92.3;12;1;81.8;9;2;5.3;2;36;75;6;2
Unknown Solomon Saturn I;X;X;211;3.4;2;57;NA;0;0;NA;0;0;100;5;0;60;6;4;0;0;5;84;79;15;100;19;0;NA;0;0;100;14;0;78.8;26;7;81.3;13;3;46.7;7;8;66.7;2;1;20;1;4;100;1;0;0;0;3;NA;0;0
Unknown Solomon Saturn II;X;X;83;NA;0;0;0;0;4;0;0;1;100;4;0;92.3;12;1;NA;0;0;100;1;0;100;4;0;NA;0;0;100;19;0;91.7;55;5;66.7;10;5;100;1;0;0;0;1;33.3;5;10;100;1;0;0;0;1;NA;0;0
Unknown Vercelli Homily I Bodley;X;X;361;28.6;2;5;10;1;9;3.6;1;27;77.8;7;2;50;24;24;0;0;12;37.5;33;55;85.2;23;4;38.5;5;8;73.3;11;4;81.7;58;13;72.5;50;19;100;3;0;100;6;0;100;2;0;75;3;1;33.3;3;6;100;1;0
Unknown Vercelli Homily I;X;X;319;0;0;2;0;0;7;0;0;22;71.4;5;2;51.4;19;18;0;0;11;29.2;21;51;76.2;16;5;22.2;2;7;80;8;2;74.1;20;7;78.6;33;9;75;3;1;75;3;1;100;1;0;100;2;0;85.7;6;1;0;0;1
Unknown Vercelli Homily IX Hatton;X;X;94;0;0;2;50;1;1;14.3;1;6;100;5;0;73.3;11;4;0;0;5;53.8;7;6;76.9;10;3;NA;0;0;75;9;3;72.5;29;11;66.7;28;14;0;0;1;100;1;0;100;3;0;100;2;0;30;3;7;0;0;1
Unknown Vindicta Salvatoris;X;X;277;21.7;5;18;0;0;14;4.8;1;20;93.9;31;2;52.1;25;23;0;0;20;80.5;33;8;NA;0;0;42.9;3;4;80;4;1;92.3;36;3;72.7;40;15;100;8;0;57.1;4;3;100;10;0;100;2;0;0;0;11;50;1;1
